layer,pair_id,language,pc1,pc2
1,56,English,3.6442668437957764,1.7103208303451538
1,56,French,-4.785748481750488,1.4751360416412354
1,57,English,3.687368631362915,-2.898463010787964
1,57,French,-2.912367105484009,-6.28376579284668
1,58,English,2.6194076538085938,-1.0745710134506226
1,58,French,-1.8421227931976318,-0.033013634383678436
1,59,English,3.909250497817993,-1.1212568283081055
1,59,French,-4.741220474243164,-4.166434288024902
1,60,English,3.4716920852661133,1.296570897102356
1,60,French,-3.659895181655884,2.5900793075561523
1,61,English,2.4503190517425537,-0.2995178699493408
1,61,French,-3.542314052581787,-0.8949957489967346
1,62,English,3.47044038772583,0.9993473291397095
1,62,French,-3.0930023193359375,1.2003458738327026
1,63,English,3.7482717037200928,-0.4655037522315979
1,63,French,-4.7332868576049805,-2.304471254348755
1,64,English,2.5230164527893066,0.46729180216789246
1,64,French,-3.589245080947876,0.4650745391845703
1,65,English,2.856895685195923,-1.0188857316970825
1,65,French,-1.6743489503860474,-1.5516859292984009
1,66,English,3.0331194400787354,-0.2335701435804367
1,66,French,-1.5798510313034058,-0.5525201559066772
1,67,English,3.9285197257995605,-2.1547460556030273
1,67,French,-4.561354637145996,-5.4806904792785645
1,68,English,3.256704568862915,1.8382923603057861
1,68,French,-5.2327351570129395,3.0716917514801025
1,69,English,3.6298880577087402,1.870346188545227
1,69,French,-3.785411834716797,2.1712653636932373
1,70,English,3.6807198524475098,-0.9889137744903564
1,70,French,-4.29096794128418,-3.2036917209625244
1,71,English,2.7470297813415527,1.3851089477539062
1,71,French,0.15867438912391663,1.982951045036316
1,72,English,3.2679738998413086,-1.9767649173736572
1,72,French,-1.2408825159072876,-0.8981642127037048
1,73,English,2.8507440090179443,-1.3023855686187744
1,73,French,-2.135406970977783,-0.23938612639904022
1,74,English,2.8921256065368652,1.553220272064209
1,74,French,-4.313238620758057,2.558755874633789
1,75,English,3.721885919570923,0.03312743082642555
1,75,French,-5.732575416564941,-1.0969560146331787
1,76,English,3.8411083221435547,-1.0489307641983032
1,76,French,-4.5766377449035645,-5.558081150054932
1,77,English,3.0741324424743652,-1.0100715160369873
1,77,French,-7.437212944030762,-6.394410133361816
1,78,English,2.4699490070343018,1.666824460029602
1,78,French,-0.8802334070205688,1.9761121273040771
1,79,English,3.024016857147217,-2.8408186435699463
1,79,French,-0.7989067435264587,-2.9926137924194336
1,80,English,2.792032480239868,2.4088101387023926
1,80,French,-3.329064130783081,3.4365015029907227
1,81,English,3.1564574241638184,2.362518548965454
1,81,French,-4.848089694976807,3.6847174167633057
1,82,English,3.246332883834839,2.234757423400879
1,82,French,-5.250643730163574,3.1139426231384277
1,83,English,3.425471782684326,-3.132796049118042
1,83,French,-3.758829355239868,-1.196421504020691
1,84,English,3.140143394470215,1.8236793279647827
1,84,French,-3.458690643310547,2.4323980808258057
1,85,English,0.6527682542800903,-6.319530010223389
1,85,French,-1.5797556638717651,-3.7373974323272705
1,86,English,3.715573310852051,-0.05137128755450249
1,86,French,-3.2402310371398926,0.22912724316120148
1,87,English,3.551826000213623,1.1744866371154785
